"","Postcode","Population","Median Age","Median Income","Unemp Rate","Transport","Mean Yr of Edu","Case Per Pop","Covid Case"
"1","2000",27411,30,634,0.03998318107106,"walk",9.24402612090037,0.280799678961001,7697
"2","2007",8845,26,386,0.0635257999763845,"walk",9.66579988694177,0.216393442622951,1914
"3","2008",11712,26,526,0.0591668877686389,"walk",9.96900614754098,0.227202868852459,2661
"4","2009",12813,34,1111,0.0351028133872494,"walk",9.3818777803793,0.208850386326387,2676
"5","2010",27734,34,1209,0.0312736921910538,"walk",9.26555852022788,0.240859594721281,6680
"6","2011",21196,35,1304,0.0265569111666422,"walk",8.58968673334591,0.181402151349311,3845
"7","2015",9918,33,1297,0.0274563194917177,"drive_car",9.35218794111716,0.273744706594071,2715
"8","2016",13213,35,991,0.0351889475822836,"train",9.20086278664951,0.266025883599485,3515
"9","2017",24695,30,829,0.0462238159793589,"drive_car",9.33197003441992,0.28155497064183,6953
"10","2018",17028,34,663,0.0387360543274894,"drive_car",8.39382194033357,0.274371623208833,4672
"11","2019",10838,36,901,0.0266031598513011,"drive_car",7.91003875253737,0.336132127698837,3643
"12","2020",14772,32,806,0.0350480056201702,"drive_car",8.95301922556187,0.40353371242892,5961
"13","2021",15313,36,1393,0.0240402674479754,"drive_car",9.03820283419317,0.219943838568537,3368
"14","2022",12507,36,1089,0.0276424287856072,"train",8.4989206044615,0.280163108659151,3504
"15","2023",10716,37,1318,0.0223387280601778,"drive_car",8.68635684957074,0.24374766703994,2612
"16","2024",11073,38,1171,0.0227724961308866,"drive_car",8.27327734128059,0.262711099069809,2909
"17","2025",7405,41,1375,0.020272410516313,"drive_car",8.76988521269413,0.206212018906144,1527
"18","2026",32490,33,1191,0.0261682242990654,"drive_car",8.60787934749154,0.294090489381348,9555
"19","2027",8195,45,1526,0.0163214922507201,"drive_car",8.89115314215985,0.177303233679073,1453
"20","2028",4642,39,1427,0.0218605780908428,"drive_car",9.14584230934942,0.216286083584662,1004
"21","2029",9961,38,1154,0.0242439084119016,"drive_car",8.64401164541713,0.249272161429575,2483
"22","2030",14079,40,1108,0.0239061795218764,"drive_car",8.45280204559983,0.251935506783152,3547
"23","2031",34726,35,1127,0.0260798138134027,"drive_car",8.74871853942291,0.249784023498243,8674
"24","2032",16689,28,469,0.0533108108108108,"drive_car",9.25819402001318,0.210078494816945,3506
"25","2033",11570,31,760,0.0382637927625074,"drive_car",9.12929991356958,0.240103716508211,2778
"26","2034",20713,35,1179,0.0258349086326402,"drive_car",8.58364312267658,0.266595857673925,5522
"27","2035",34490,37,769,0.0311501597444089,"drive_car",8.53421281530879,0.26610611771528,9178
"28","2036",30407,39,718,0.0269329642080285,"drive_car",7.60683395270826,0.273752754299997,8324
"29","2037",16115,34,894,0.040785498489426,"drive_car",9.14005584858827,0.22550418864412,3634
"30","2038",9451,37,1162,0.0304143961475098,"drive_car",8.76404613268437,0.22293937149508,2107
"31","2039",8725,38,1457,0.0230044345898004,"drive_car",8.61065902578797,0.221432664756447,1932
"32","2040",22242,37,1105,0.028862383256442,"drive_car",8.20420825465336,0.242199442496178,5387
"33","2041",15690,41,1376,0.0267912291537986,"drive_car",8.5402166985341,0.208922880815806,3278
"34","2042",19129,33,1061,0.0331918851363134,"train",9.26917246066182,0.259553557425898,4965
"35","2043",8014,34,1381,0.0269398063701417,"train",9.36361367606688,0.297728974294984,2386
"36","2044",7846,35,926,0.0325239808153477,"drive_car",8.64172826918175,0.275554422635738,2162
"37","2045",6457,44,801,0.0243623905595737,"drive_car",8.01657116307883,0.227969645346136,1472
"38","2046",26822,41,935,0.0252360203340595,"drive_car",8.25415703526956,0.226977854000447,6088
"39","2047",11950,40,1170,0.0237905634083217,"drive_car",8.53096234309623,0.210794979079498,2519
"40","2048",7938,35,1067,0.0259302666276004,"drive_car",8.74955908289242,0.238221214411691,1891
"41","2049",11282,36,996,0.0345995893223819,"drive_car",8.68436447438397,0.255717071441234,2885
"42","2050",8963,31,1071,0.0405650126765665,"drive_car",9.79973223251144,0.243333705232623,2181
"43","2060",13988,37,1364,0.0273776362912853,"train",9.47097512153274,0.175722047469259,2458
"44","2061",5943,41,1514,0.0263540530716103,"train",9.57799091367996,0.167760390375231,997
"45","2062",7006,38,1385,0.0254977296542089,"drive_car",8.88367113902369,0.214102198115901,1500
"46","2063",6347,42,1155,0.0231378120560179,"drive_car",8.46289585631007,0.205136284858988,1302
"47","2064",9523,35,1028,0.0360067593916547,"train",8.74230809618818,0.17305470965032,1648
"48","2065",30119,36,1337,0.0278684701492537,"drive_car",9.19549121816793,0.189149706165543,5697
"49","2066",31626,36,1121,0.029638620257625,"drive_car",8.79605387971922,0.217953582495415,6893
"50","2067",26403,35,742,0.0390033975084938,"drive_car",8.96632958375942,0.17001855849714,4489
"51","2068",16813,40,1044,0.0280576654782204,"drive_car",8.22250639386189,0.220067804674954,3700
"52","2069",14253,40,995,0.0261087267525036,"drive_car",8.58535045253631,0.197642601557567,2817
"53","2070",13505,40,965,0.0282586319827828,"drive_car",8.70248056275454,0.203702332469456,2751
"54","2071",13545,41,903,0.0344796215429403,"drive_car",8.90439276485788,0.176448874123293,2390
"55","2072",7668,40,857,0.0356631109695908,"drive_car",8.81090245174752,0.203182055294731,1558
"56","2073",16352,40,993,0.0319232583739582,"drive_car",8.63380626223092,0.212389921722113,3473
"57","2074",22258,44,920,0.0252367688022284,"drive_car",8.70707161470033,0.188875909785246,4204
"58","2075",20451,42,932,0.0260928708341062,"drive_car",8.70935406581585,0.198572196958584,4061
"59","2076",24648,41,871,0.0270940950065836,"drive_car",8.56953911067835,0.196364816617981,4840
"60","2077",37791,37,776,0.0384083728278041,"drive_car",8.59450662856236,0.187716652112937,7094
"61","2079",7095,39,828,0.0271855010660981,"drive_car",8.59365750528541,0.246370683579986,1748
"62","2080",1708,40,758,0.0275297619047619,"drive_car",8.30386416861827,0.158665105386417,271
