"","notification_date","covid_case"
"1","2020-01-25",3
"2","2020-01-27",1
"3","2020-03-01",2
"4","2020-03-02",3
"5","2020-03-03",6
"6","2020-03-04",6
"7","2020-03-05",4
"8","2020-03-06",7
"9","2020-03-07",1
"10","2020-03-08",7
"11","2020-03-09",13
"12","2020-03-10",6
"13","2020-03-11",16
"14","2020-03-12",14
"15","2020-03-13",19
"16","2020-03-14",20
"17","2020-03-15",36
"18","2020-03-16",29
"19","2020-03-17",64
"20","2020-03-18",45
"21","2020-03-19",56
"22","2020-03-20",86
"23","2020-03-21",122
"24","2020-03-22",121
"25","2020-03-23",176
"26","2020-03-24",189
"27","2020-03-25",203
"28","2020-03-26",181
"29","2020-03-27",211
"30","2020-03-28",141
"31","2020-03-29",119
"32","2020-03-30",85
"33","2020-03-31",118
"34","2020-04-01",113
"35","2020-04-02",89
"36","2020-04-03",101
"37","2020-04-04",69
"38","2020-04-05",52
"39","2020-04-06",32
"40","2020-04-07",38
"41","2020-04-08",43
"42","2020-04-09",36
"43","2020-04-10",24
"44","2020-04-11",15
"45","2020-04-12",7
"46","2020-04-13",5
"47","2020-04-14",21
"48","2020-04-15",20
"49","2020-04-16",22
"50","2020-04-17",14
"51","2020-04-18",17
"52","2020-04-19",7
"53","2020-04-20",2
"54","2020-04-21",6
"55","2020-04-22",3
"56","2020-04-23",8
"57","2020-04-24",14
"58","2020-04-25",3
"59","2020-04-26",1
"60","2020-04-27",5
"61","2020-04-28",10
"62","2020-04-29",3
"63","2020-04-30",14
"64","2020-05-01",2
"65","2020-05-02",2
"66","2020-05-03",1
"67","2020-05-04",4
"68","2020-05-05",4
"69","2020-05-06",3
"70","2020-05-07",2
"71","2020-05-08",4
"72","2020-05-09",1
"73","2020-05-12",5
"74","2020-05-13",3
"75","2020-05-14",3
"76","2020-05-18",1
"77","2020-05-19",3
"78","2020-05-20",1
"79","2020-05-21",3
"80","2020-05-23",1
"81","2020-05-24",1
"82","2020-05-25",1
"83","2020-05-28",1
"84","2020-05-30",2
"85","2020-05-31",4
"86","2020-06-01",4
"87","2020-06-02",1
"88","2020-06-03",2
"89","2020-06-04",3
"90","2020-06-06",1
"91","2020-06-07",2
"92","2020-06-08",1
"93","2020-06-09",3
"94","2020-06-11",3
"95","2020-06-12",3
"96","2020-06-13",8
"97","2020-06-14",6
"98","2020-06-17",2
"99","2020-06-18",1
"100","2020-06-19",1
"101","2020-06-20",6
"102","2020-06-21",1
"103","2020-06-22",1
"104","2020-06-23",7
"105","2020-06-24",4
"106","2020-06-25",4
"107","2020-06-26",5
"108","2020-06-27",6
"109","2020-06-28",3
"110","2020-06-29",2
"111","2020-06-30",8
"112","2020-07-01",2
"113","2020-07-02",1
"114","2020-07-03",7
"115","2020-07-04",9
"116","2020-07-05",3
"117","2020-07-06",7
"118","2020-07-07",2
"119","2020-07-08",6
"120","2020-07-09",7
"121","2020-07-10",4
"122","2020-07-11",2
"123","2020-07-12",12
"124","2020-07-13",15
"125","2020-07-14",9
"126","2020-07-15",7
"127","2020-07-16",9
"128","2020-07-17",9
"129","2020-07-18",14
"130","2020-07-19",18
"131","2020-07-20",13
"132","2020-07-21",14
"133","2020-07-22",16
"134","2020-07-23",7
"135","2020-07-24",16
"136","2020-07-25",15
"137","2020-07-26",7
"138","2020-07-27",14
"139","2020-07-28",22
"140","2020-07-29",15
"141","2020-07-30",21
"142","2020-07-31",15
"143","2020-08-01",14
"144","2020-08-02",10
"145","2020-08-03",13
"146","2020-08-04",8
"147","2020-08-05",13
"148","2020-08-06",11
"149","2020-08-07",7
